Title,Authors,Description,Category,Publisher,Publish Date,Price
Fairyville (Berkley Sensation),"By Holly, Emma","Zoe Clare is a medium who has no trouble communicating with the dead-or with real live fairies, for that matter! But she can't seem to get her feelings across to her landlord-slash-manager- Magnus Monroe, Fairyville, Arizona's most eligible bachelor. She's tired of his erotic antics with every woman in town but her. So when her high school flame returns to town, Zoe is more than a little vulnerable to his charms. How Alex broke herheart is a scandal no one in Fairyville has forgotten. But even if Zoe isn't ready to forget, she's willing to forgive. The rules they're about to break will bring out the jealousy in Magnus-and the astounding truth."," Fiction , Romance , Paranormal",Berkley Trade,"Saturday, September 1, 2007",Price Starting at $5.29
The Good German: A Novel,"By Kanon, Joseph","With World War II finally coming to an ending, Jake Geismar, former Berlin correspondent for CBS, has wangled one of the coveted press slots for the Potsdam Conference. His assignment: a series of articles on the Allied occupation. His personal agenda: to find Lena, the German mistress he left behind at the outbreak of the war. When he stumbles onto a murder - an American soldier has washed up on a lakeshore on the conference grounds - he thinks he has found the key that will unlock his Berlin story.What Jake finds instead is a larger story of corruption and intrigue reaching deep into the heart of the occupation. After twelve years of Nazi rule, six years of war, and months of brutal treatment by the Russians, Berlin has finally arrived at zero hour, a city not only physically but morally devastated. Children scavenge for food in the rubble, sex can be had for a cigarette, and heirlooms are traded for cans of PX rations. American GIs, flush with black market money, live in requisitioned villas and fraternize in underground jazz clubs; meanwhile, the air remains thick with mortar dust, and corpses still float in the canals. Berlin in July 1945 is like nowhere else - a tragedy, and a feverish party after the end of the world.And nothing is simple. As Jake searches the ruins for Lena, he discovers that years of war have led to unimaginable displacement and degradation. As he hunts for the soldier's killer, he learns that Berlin has become a city of secrets, a lunar landscape that seethes with social and political tension. When the two searches become entangled, Jake comes to understand that the American Military Government is already fighting a new enemy in the east, busily identifying the ""good Germans"" who can help with the next war. And hanging over everything is the larger crime, a crime so huge that it seems - the worst irony - beyond punishment."," Fiction , Romance , Historical , General",Henry Holt and Co.,"Monday, October 1, 2001",Price Starting at $10.99
Horatio Nelson,"By Pocock, Tom","A biography of the legendary British naval hero includes newly discovered details concerning Nelson's childhood and private life, including his adventures in the Arctic and the Nicaraguan jungle"," Biography & Autobiography , Historical",Knopf,"Friday, April 1, 1988",Price Starting at $10.99
Walt Disney's 101 Dalmatians (Little Golden Books),"By Walt Disney Productions (COR) and Smith, Dodie (EDT)","Two Dalmatians undertake a daring expedition to rescue their fifteen puppies from the clutches of the vicious Cruella de Vil, only to find ninety-nine Dalmatian puppies in the capture of that cruel villainess."," Juvenile Fiction , Media Tie-In",Golden Press,"Saturday, June 1, 1985",Price Starting at $5.29
Sizes (My First Look at),"By Rann, Toni, Yorke, Jane (EDT), and Oliver, Stephen","Photographs explore the concept of size, including big and little, big, bigger, biggest, and same size"," Juvenile Nonfiction , General",Random House Books for Young Readers,"Sunday, April 1, 1990",Price Starting at $5.29
"If Women Ran the World, Sh*t Would Get Done: Celebrating All the Wonderful, Amazing, Stupendous, Inspiring, Buttkicking Things Women Do (Inspiration and Daily Affirmations for Women)","By Rachanow, Shelly","Dream about the kind of world you'd run. And use the questions and pages in this book to write them down. Make your own dreams come true!!! Divided into five sections each including Real Life Stories, lists of things women do (for example, 25 Things Women Do for their Families Between 7:55 and 8:00 am!), organizations founded by women and space to write your own buttkicking, worldrunning lists. Eleanor Roosevelt said, ""The future belongs to those who believe in the beauty of their dreams."" Shelly Rachanow's dream is to help women figure out what the world might look like if they ran it the way they  each  want it to be. * Inspiring women to do what they can to create the kind of world they want their children to inherit. * The future belongs to those of us who believe in the beauty of our dreams--and this is a book to help us catch our dreams and make them come true. * A perfect anyoccasion gift for the woman who wants more for all of us."," Self-help , Personal Growth , Self-Esteem",Conari Press,"Friday, September 1, 2006",Price Starting at $5.29
Cooking Well for the Unwell: More Than One Hundred Nutritious Recipes,"By Behan, Eileen","A unique cookbook for parents, companions, and caregivers explains the special nutritional needs associated with various illnesses and offers recipes with nutrient analyses for handling specific health problems and requirements."," Health & Fitness , Diet & Nutrition , Nutrition",Hearst Books,"Monday, July 1, 1996",Price Starting at $6.06
Global Marine Biological Diversity: A Strategy For Building Conservation Into Decision Making,"By Norse, Elliott A. (EDT) and Center for Marine Conservation (COR)",Global Marine Biological Diversity presents the most up-to-date information and view on the challenge of conserving the living sea and how that challenge can be met.," Science , Life Sciences , Marine Biology",Island Press,"Thursday, July 1, 1993",Price Starting at $5.31
Art Activity Pack: Cezanne (Art Activity Packs),"By Boutan, Mila","In this innovative new series, readers will learn about four of the world's best known artists--Monet, Matisse, Cezanne, and Van Gogh--and they'll also get activity ideas that will inspire them to create their own masterpieces.Each Art Activity Pack comes with a paperback book about the artist and focuses on one of the concepts behind his work. In addition, theCezanne, Monet and Van Gogh Packs include an art activity book and a poster to color. The Matisse Pack includes stencils and brightly colored paper young artists can cut to create their own collages.Included in the Art Activity Packs:(Cezanne, Monet and Van Gogh)Full Color BookArt Activity Book(Cezanne, Monet and Van Gogh)Large Format Poster(Matisse)Stencils & Colored Paper",,Chronicle Books,"Monday, April 1, 1996",Price Starting at $5.29
The First Victim,"By Pearson, Ridley","In this gripping new novel, Lou Boldt is back and entering dark new territory. A shipping container washed ashore leads Seattle television news anchor Stevie McNeal and her reporter friend, Melissa, on the trail of a scam involving the importation of illegal aliens. A career stepping-stone for McNeal, the investigation puts her at cross-purposes with the Seattle Police Department's Lou Boldt and Sergeant John LaMoia. When Melissa disappears, perhaps at the hands of the Chinese Triad, McNeal turns from foe to ally and teams up with the detectives on an investigation that takes them from Seattle's docklands to the offices of the immigration and Naturalization Service."," Fiction , Thrillers , General",Hyperion,"Thursday, July 1, 1999",Price Starting at $5.53
Robin Hood (A Stepping Stone Book),"By Ingle, Annie and D'Andrea, Domenick (ILT)",Life in Sherwood Forest has never been livelier than with this selection of tales of the fun-loving outlaw and his merry men. A fast-moving adaptation of the classic adventure will delight older slow readers as well as kids reading on grade level.," Juvenile Fiction , Classics",Random House Books for Young Readers,"Sunday, September 1, 1991",Price Starting at $5.29
The Portable Dad: Fix-It Advice for When Dad's Not Around,"By Elliott, Steve","For college students, twentysomethings, and anyone else who keeps Dad on speed-dial for car emergencies, plumbing woes, appliance advice, and more. Take Dad’s know-how with you everywhere you go! This Dad’s got all the answers to all the basics, so that you can get it done and move on. He knows how to hang, unclog, patch, drill, paint, mow, lube, edge, weed, sand, pack, and more.The Portable Dad is the answer to those panicked late-night phone calls: how to keep things running, how to maintain the stuff you use, how to get by without getting in over your head. If Dad doesn’t know the answer, you don’t really need to do it!"," House & Home , Reference",Running Press,"Wednesday, April 1, 2009",Price Starting at $5.52
Einstein: His Life and Universe,"By Isaacson, Walter","By the author of the acclaimed bestsellers Benjamin Franklin and Steve Jobs, this is the definitive biography of Albert Einstein. How did his mind work? What made him a genius? Isaacson’s biography shows how his scientific imagination sprang from the rebellious nature of his personality. His fascinating story is a testament to the connection between creativity and freedom.  Based on newly released personal letters of Einstein, this book explores how an imaginative, impertinent patent clerk—a struggling father in a difficult marriage who couldn’t get a teaching job or a doctorate—became the mind reader of the creator of the cosmos, the locksmith of the mysteries of the atom, and the universe. His success came from questioning conventional wisdom and marveling at mysteries that struck others as mundane. This led him to embrace a morality and politics based on respect for free minds, free spirits, and free individuals.  These traits are just as vital for this new century of globalization, in which our success will depend on our creativity, as they were for the beginning of the last century, when Einstein helped usher in the modern age."," Science , Physics , Relativity",Simon & Schuster,"Thursday, May 1, 2008",Price Starting at $8.79
